klimekop6;514|462;10:05:44:320 13/06/2021;BURZAK;[unit]spy[/unit]5[unit]heavy[/unit]20[unit]catapult[/unit]25 (Zagroda);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=1665283419] [BURZAK] [/url]
klimekop6;514|462;10:06:27:819 13/06/2021;BURZAK;[unit]axe[/unit]50[unit]catapult[/unit]25 (Cegielnia);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=419803090] [BURZAK] [/url]
klimekop6;514|462;10:32:16:847 13/06/2021;BURZAK;[unit]heavy[/unit]50[unit]catapult[/unit]25 (Kuünia);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=306013520] [BURZAK] [/url]
klimekop6;514|462;10:38:48:359 13/06/2021;BURZAK;[unit]axe[/unit]50[unit]catapult[/unit]25 (Cegielnia);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=32381262] [BURZAK] [/url]
klimekop6;514|462;10:54:44:133 13/06/2021;BURZAK;[unit]axe[/unit]50[unit]catapult[/unit]25 (Zagroda);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=717245433] [BURZAK] [/url]
klimekop6;514|462;11:49:15:199 13/06/2021;BURZAK;[unit]catapult[/unit]25 (Kuünia);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=176001393] [BURZAK] [/url]
klimekop6;522|472;10:28:33:000 13/06/2021;BURZAK;[unit]catapult[/unit]25 (Zagroda);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=137374719] [BURZAK] [/url]
klimekop6;522|472;11:32:06:861 13/06/2021;BURZAK;[unit]axe[/unit]50[unit]catapult[/unit]25 (Tartak);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=1362054929] [BURZAK] [/url]
klimekop6;518|468;09:33:20:352 13/06/2021;BURZAK;[unit]light[/unit]50[unit]catapult[/unit]25 (Cegielnia);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=419435109] [BURZAK] [/url]
klimekop6;518|468;09:55:05:635 13/06/2021;BURZAK;[unit]axe[/unit]50[unit]catapult[/unit]25 (Koszary);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=333795884] [BURZAK] [/url]
klimekop6;515|466;09:55:04:373 13/06/2021;BURZAK;[unit]catapult[/unit]25 (Huta øelaza);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=2080452090] [BURZAK] [/url]
klimekop6;515|466;11:09:57:657 13/06/2021;BURZAK;[unit]catapult[/unit]25 (Zagroda);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=289960936] [BURZAK] [/url]
klimekop6;515|469;10:23:03:508 13/06/2021;BURZAK;[unit]axe[/unit]10[unit]spy[/unit]1[unit]catapult[/unit]25 (Zagroda);[url=https://pl160.plemiona.pl/game.php?&screen=info_command&id=1778634733] [BURZAK] [/url]
